,name,facebook,twitter,instagram,pinterest
26,UnitedHealth Group,https://it-it.facebook.com/unitedhealthgroup/,https://twitter.com/unitedhealthgrp,https://www.instagram.com/unitedhealthgroup/,https://www.pinterest.com/lisal6271/united-healthcare-group/
27,Walmart,https://www.facebook.com/walmart/,https://twitter.com/walmart,https://www.instagram.com/walmart/,https://www.pinterest.com/Walmart/
28,China Merchants Bank,https://m.facebook.com/profile.php?id=108353189192311,https://twitter.com/places/07d9ee8b2a082000?lang=bg,https://www.instagram.com/explore/locations/621700304552044/china-merchants-bank,https://www.pinterest.com/pin/china-merchants-bank-shenzhen-china-architecture-design-research-group--682154674785915773/
29,Volkswagen Group,https://it-it.facebook.com/VolkswagenIT/,https://twitter.com/vwgroup,https://www.instagram.com/volkswagen/,
30,Chevron,https://www.facebook.com/Chevron/,https://twitter.com/chevron,https://www.instagram.com/chevron/,
31,Citigroup,https://it-it.facebook.com/citi/,https://twitter.com/search?q=%23CITIGROUP,https://www.instagram.com/citi/,https://www.pinterest.com/citibank/
32,Tencent Holdings,https://www.facebook.com/TencentGlobal/,https://twitter.com/tencentglobal,https://www.instagram.com/tencent.cn/?hl=it,https://www.pinterest.com/pin/tencent-holdings-rakes-in-15-billion--502855114625182832/
33,Total,https://www.facebook.com/TotalEnergies/,https://twitter.com/totalenergiesit,https://www.instagram.com/totalenergies/,
34,Postal Savings Bank Of China (PSBC),https://m.facebook.com/people/Postal-Savings-Bank-of-China-PSBC/100068215717955/,https://twitter.com/researchpool/status/1259492804960481280?lang=bn,https://www.jpmorganchina.com.cn/en/news/firm-forms-strategic-partnership-with-postal-savings-bank-of-china,https://www.pinterest.com/pin/442900944580056458/
35,China Mobile,https://it-it.facebook.com/ChinaMobileHK/,https://twitter.com/chinamobile7,https://www.instagram.com/chinamobilehk/,https://www.pinterest.com/pin/268456827773302540/
36,Comcast,https://www.facebook.com/comcast/,https://twitter.com/comcast,https://www.instagram.com/comcast/,https://www.pinterest.com/xfinity/
37,Alibaba Group,https://www.facebook.com/alibabagroupofficial/,https://twitter.com/alibabagroup,https://www.instagram.com/alibaba.group/,https://www.pinterest.com/pin/401946335467775513/
38,Meta Platforms,https://it.wikipedia.org/wiki/Meta_Platforms,https://twitter.com/meta,https://it.wikipedia.org/wiki/Meta_Platforms,https://www.fool.com/investing/2022/11/02/better-social-media-stock-meta-platforms-pinterest/
39,Allianz,https://it-it.facebook.com/AllianzItalia/,https://twitter.com/allianz,https://www.instagram.com/allianz/?hl=it,https://www.pinterest.com/allianz/
40,Morgan Stanley,https://www.facebook.com/morganstanley/,https://twitter.com/morganstanley,https://www.instagram.com/morgan.stanley/,https://www.pinterest.it/pin/180144053822294845/
41,Goldman Sachs Group,https://www.facebook.com/goldmansachs/,https://twitter.com/goldmansachs,https://www.instagram.com/goldmansachs/,https://www.pinterest.com/bidnessetc/goldman-sachs/
42,HSBC Holdings,https://www.facebook.com/HSBC/,https://twitter.com/hsbc,https://www.instagram.com/hsbc/,https://www.pinterest.com/kimwiessner/hsbc/
43,BNP Paribas,https://www.facebook.com/BNLBNPParibas/,https://twitter.com/bnlbnpparibas_,https://www.instagram.com/bnpparibas/,https://www.pinterest.it/geeohrgeeah/bnl-la-banca-per-un-mondo-che-cambia/
44,Johnson & Johnson,https://it.wikipedia.org/wiki/Boris_Johnson,https://it.wikipedia.org/wiki/Boris_Johnson,https://it.wikipedia.org/wiki/Boris_Johnson,https://it.wikipedia.org/wiki/Boris_Johnson
45,Mercedes-Benz Group,https://it-it.facebook.com/mercedesbenzclubitalia/,https://twitter.com/mercedesbenz,https://www.instagram.com/mercedesbenz/,
46,CVS Health,https://it-it.facebook.com/CVSHealth/,https://twitter.com/cvshealth,https://www.instagram.com/cvshealth/,https://www.pinterest.com/cvs_pharmacy/
47,Softbank,https://www.facebook.com/SoftBank/,https://twitter.com/softbank,https://www.instagram.com/softbank_official/,https://www.pinterest.it/pin/844495367600621411/?amp_client_id=CLIENT_ID(_)&mweb_unauth_id=&simplified=true
48,Sinopec,https://www.facebook.com/Sinopec/,https://twitter.com/sinopecnews,https://www.instagram.com/sinopec_group/?hl=it,https://www.pinterest.it/pin/413697915753099123/
49,RBC,https://www.facebook.com/rbc/,https://twitter.com/rbc,https://www.instagram.com/rbc/,https://www.pinterest.com/giantmicrobes/red-blood-cell/
50,Nestlé,https://it-it.facebook.com/Nestle.IT/,https://twitter.com/nestle?lang=sv,https://www.instagram.com/nestleit/?hl=it,https://www.pinterest.ch/nestle/
51,AXA Group,https://it-it.facebook.com/AXAitalia/,https://twitter.com/axaitalia,https://www.instagram.com/axaitalia/,https://www.pinterest.com/pin/axa-by-palmberg--199073246020508601/
52,Gazprom,https://m.facebook.com/profile.php?id=106037412760255,https://twitter.com/GazpromEN?,https://www.instagram.com/explore/locations/524727163/gazprom/,https://www.pinterest.it/pin/301670875023242923/
53,BP,https://it-it.facebook.com/bp/,https://twitter.com/bp_plc,https://www.instagram.com/bp_plc/,
54,Intel,https://www.facebook.com/Intel/,https://twitter.com/intel,https://www.instagram.com/intel/,https://www.pinterest.com/intel/
55,TD Bank Group,https://it-it.facebook.com/TDBankGroup/,https://twitter.com/tdbank_us,https://www.instagram.com/tdbank_us/,https://www.pinterest.com/tdbank/
56,Nippon Telegraph & Tel,https://group.ntt/en/,https://group.ntt/en/,https://group.ntt/en/,https://group.ntt/en/
57,Reliance Industries,https://www.facebook.com/RelianceIndustriesLimited/,https://twitter.com/relianceindltd,https://www.instagram.com/relianceindustries_official/,https://in.pinterest.com/pin/637681628471324909/
58,Industrial Bank,https://www.facebook.com/IndustrialBank1934/,https://twitter.com/bankindustrial,https://www.instagram.com/bankindustrial/?hl=it,https://www.pinterest.com/pin/543668986250224460/
59,Sony,https://it-it.facebook.com/sonyitalia/,https://twitter.com/sony,https://www.instagram.com/sony/,https://www.pinterest.com/sonyelectronics/
60,Santander,https://it-it.facebook.com/santanderstorecasazza/,https://twitter.com/bancosantander,https://www.instagram.com/santanderf9/?hl=it,https://www.pinterest.it/aviontourism/santander/
61,Mitsubishi UFJ Financial,https://m.facebook.com/profile.php?id=104106269624872,https://twitter.com/mufgamericas,https://www.instagram.com/explore/locations/252455873/chiyoda-ku-tokyo-japan/mitsubishi-ufj-financial-group/,https://www.pinterest.it/amp/pin/559009372495238562/
62,Taiwan Semiconductor,https://it-it.facebook.com/MyTSMC/,https://twitter.com/twsemicon,https://www.instagram.com/explore/locations/623842777822843/hsinchu-taiwan/taiwan-semiconductor-manufacturing-company/,https://www.pinterest.com/pin/as-the-worlds-largest-maker-of-electric-semiconductors-taiwan-semiconductor-manufacturing-company-tsmc-in-2022--426293920999867136/
63,Ford Motor,https://www.facebook.com/ford/,https://twitter.com/ford,https://www.instagram.com/ford/?hl=it,https://www.pinterest.it/fordvehicles/
64,LVMH Moët Hennessy Louis Vuitton,https://it-it.facebook.com/lvmh/,https://twitter.com/lvmh,https://www.instagram.com/lvmh/?hl=it,
65,Bank of Communications,https://it-it.facebook.com/bankofcommunications/,https://twitter.com/zhugeex/status/1269970129267363841,https://www.instagram.com/explore/locations/1019603514/,https://www.pinterest.com/pin/120119515032345894/
66,Procter & Gamble,https://it.pg.com/,https://it.pg.com/,https://it.pg.com/,https://it.pg.com/
67,BMW Group,https://it-it.facebook.com/BMWGroup/,https://twitter.com/bmwgroup,https://www.instagram.com/bmwgroup/,
68,Petrobras,https://www.facebook.com/petrobras/,https://twitter.com/petrobras,https://www.instagram.com/petrobras/,https://br.pinterest.com/sudineidealvescavalcante/petrobras/
69,Deutsche Telekom,https://www.facebook.com/deutschetelekom/,https://twitter.com/deutschetelekom,https://www.instagram.com/deutschetelekom/,https://www.pinterest.com/dtxir/
70,AbbVie,https://it-it.facebook.com/AbbVieIT/,https://twitter.com/abbvie,https://www.instagram.com/abbvie_italia/?hl=it,https://www.pinterest.it/abbvie0162/
71,Novartis,https://www.facebook.com/novartis/,https://twitter.com/novartisitalia,https://www.instagram.com/novartis/,https://www.pinterest.com/novartis/
72,General Motors,https://it-it.facebook.com/generalmotors/,https://twitter.com/GM?,https://www.instagram.com/generalmotors/?hl=it,https://www.pinterest.com/shorthairgent/general-motors/
73,Equinor,https://it-it.facebook.com/Equinor/,https://twitter.com/equinor,https://www.instagram.com/equinor/,https://www.pinterest.com/pin/equinor-logo--268456827777944479/
74,China Life Insurance,https://m.facebook.com/profile.php?id=109390315754034,https://twitter.com/chinalifebrk,https://www.instagram.com/chinalifesingapore/?hl=it,https://www.pinterest.com/pin/600526931541226182/
75,Roche Holding,https://it-it.facebook.com/RocheItalia/,https://twitter.com/roche,https://www.instagram.com/roche/?hl=it,
76,AIA Group,https://it-it.facebook.com/AIA/,https://twitter.com/aiagroup_press,https://www.instagram.com/aia.group/?hl=it,https://www.pinterest.com/pin/678988081311416763/
77,MetLife,https://it-it.facebook.com/metlifeitalia/,https://twitter.com/metlife,https://www.instagram.com/explore/locations/164505093569983/metlife/,https://www.pinterest.com/pin/55591376630779384/
78,BHP Group,https://www.facebook.com/BHP/,https://twitter.com/bhp,https://www.instagram.com/inside_bhp/,https://www.pinterest.com/kdividends/bhp-group/
79,American Express,https://it-it.facebook.com/AmericanExpressItalia/,https://twitter.com/americanexpress,https://www.instagram.com/americanexpress_it/?hl=it,https://www.pinterest.com/americanexpress/
80,Stellantis,https://it-it.facebook.com/Stellantis/,https://twitter.com/stellantis,https://www.instagram.com/stellantisworldwide/,https://www.pinterest.it/pin/494340496567824899/
81,Zurich Insurance Group,https://it-it.facebook.com/zurichitalia/,https://twitter.com/zurich,https://www.instagram.com/zurichinsurance/,https://www.pinterest.com/pin/359443614002322801/
82,Rosneft,https://m.facebook.com/profile.php?id=112549002089674,https://twitter.com/rosneften,https://www.instagram.com/rosneft_official/,https://www.pinterest.com/pin/rosneft--506303183085390547/
83,Rio Tinto,https://it-it.facebook.com/riotintogroup/,https://twitter.com/riotinto,https://www.instagram.com/lifeatriotinto/,https://www.pinterest.com/pin/rio-tinto--488077678342740879/
84,Brookfield Asset Management,https://m.facebook.com/profile.php?id=114211635263091,https://twitter.com/brookfield,https://www.instagram.com/brookfieldpropertiesretail/,https://www.pinterest.com/pin/394135404896700902/
85,Cigna,https://www.facebook.com/CIGNA/,https://twitter.com/cigna,https://www.instagram.com/cignatogether/,https://www.pinterest.com/cignatogether/
86,Prudential Financial,https://www.facebook.com/Prudential/,https://twitter.com/prudential/,https://www.instagram.com/prudential/,https://www.pinterest.com/prudential/
87,PepsiCo,https://www.facebook.com/PepsiCo/,https://twitter.com/pepsico,https://www.instagram.com/pepsico/,https://www.pinterest.com/pepsico/
88,Merck & Co.,https://www.merckgroup.com/it-it,https://www.merckgroup.com/it-it,https://www.merckgroup.com/it-it,https://www.merckgroup.com/it-it
89,Elevance Health,https://www.facebook.com/ElevanceHealthFoundation/,https://mobile.twitter.com/elevancehealth,https://www.instagram.com/weelevatehealth/?hl=it,https://www.pinterest.it/pin/530228556125100312/
90,Bank of Nova Scotia,https://it-it.facebook.com/scotiabank/,https://twitter.com/scotiabank,https://www.instagram.com/scotiabank/,https://www.pinterest.com/pin/199213983487086300/
91,American International Group,https://www.facebook.com/AIGInsurance/,https://twitter.com/aiginsurance,https://www.instagram.com/aiginsurance/,https://www.pinterest.com/a20b89e7df6656d117409e2e33e3cc/
92,Glencore International,https://www.facebook.com/Glencore/,https://twitter.com/glencore,https://www.instagram.com/glencoreplc/?hl=it,https://www.pinterest.com/amp/pin/398568635742259181/
93,Cisco Systems,https://it-it.facebook.com/CiscoItalia/,https://twitter.com/cisco,https://www.instagram.com/cisco/,https://www.pinterest.com/ciscoservices/
94,Anheuser-Busch InBev,https://www.facebook.com/public/Anheuser-Busch-InBev,https://twitter.com/abinbev,https://www.instagram.com/explore/locations/5193842/anheuser-busch-inbev/?hl=it,https://www.pinterest.ca/anheuserbuschin/
95,Walt Disney,https://it-it.facebook.com/WaltDisneyStudiosIT/,https://twitter.com/waltdisneyco,https://www.instagram.com/disney/,
96,Chubb,https://it-it.facebook.com/ChubbGlobal/,https://twitter.com/chubb,https://www.instagram.com/chubbglobal/,https://www.pinterest.it/ftbllr365/
97,CITIC,https://it-it.facebook.com/citicsrl/,https://twitter.com/citictelecomcpc,https://www.instagram.com/citic.prod/?hl=it,https://www.pinterest.it/pin/776378423238857088/?amp_client_id=CLIENT_ID(_)&mweb_unauth_id=&simplified=true
98,Lloyds Banking Group,https://www.facebook.com/LBGplc/,https://twitter.com/lbgplc,https://www.instagram.com/lloydsbankinggroup/,https://www.pinterest.com/pin/250442429266397802/
99,IBM,https://it-it.facebook.com/IBM/,https://twitter.com/ibm,https://www.instagram.com/ibm/,https://www.pinterest.com/thiagopribeir/ibm/
100,Sanofi,https://it-it.facebook.com/SanofiItalia/,https://twitter.com/SanofiIT?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/sanofi_italia/,https://www.pinterest.com/sanofi/
101,United Parcel Service,https://it-it.facebook.com/UPS.IT2/,https://twitter.com/ups,https://www.instagram.com/ups/,https://www.pinterest.com/dimplejean/united-parcel-service/
102,British American Tobacco,https://m.facebook.com/profile.php?id=103842996320779,https://twitter.com/batplc,https://www.instagram.com/explore/locations/59698359/british-american-tobacco/,https://www.pinterest.it/pin/263742121903130289/?amp_client_id=CLIENT_ID(_)&mweb_unauth_id=%7B%7Bdefault.session%7D%7D&simplified=true
103,UBS,https://www.facebook.com/UBSglobal/,https://twitter.com/ubs,https://www.instagram.com/ubs/,https://www.pinterest.it/UBSschweiz/
104,Honda Motor,https://it-it.facebook.com/hondaitaliamoto/,https://twitter.com/honda,https://www.instagram.com/hondamotoitalia/,
105,Mitsubishi,https://it-it.facebook.com/MitsubishiMotorsItalia/,https://twitter.com/mitsucars,https://www.instagram.com/mitsubishimotorsofficial/,https://www.pinterest.it/DriveKItalia/mitsubishi/
106,China State Construction Engineering,https://www.facebook.com/CSCECNews/,https://twitter.com/cscecnews,https://www.instagram.com/china_state_construction/,https://in.pinterest.com/pin/cscec-china-state-construction-engineering-corp-middle-east-llc-the-successful-ha--407153622545614537/
107,State Bank of India,https://www.facebook.com/StateBankOfIndia/,https://twitter.com/theofficialsbi,https://www.instagram.com/theofficialsbi/,https://in.pinterest.com/TheOfficialSBI/
108,Commonwealth Bank,https://it-it.facebook.com/commonwealthbank/,https://twitter.com/commbank,https://www.instagram.com/commbank/,https://www.pinterest.com/pin/416090453048097915/
109,Shanghai Pudong Development,https://www.facebook.com/shanghaipudongdevelopmentbank/,https://twitter.com/fcbarcelona/status/811962924608712704?lang=fi,https://www.instagram.com/explore/locations/388384775/shanghai-pudong-development-bank/,
110,Raytheon Technologies,https://www.facebook.com/raytheontechnologies/,https://twitter.com/raytheontech,https://www.instagram.com/raytheontechnologies/,https://www.pinterest.com/pin/raytheon-technologies-is-ready-for-liftoff-in-2022--626422629430710933/
111,Enel,https://it-it.facebook.com/enel.energia.10/,https://twitter.com/enelenergia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/enelenergia/,https://www.pinterest.it/enelenergia/
112,Eni,https://it-it.facebook.com/Eni/,https://twitter.com/eni?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/eni/,https://www.pinterest.it/enigaseluce/
113,Capital One,https://www.facebook.com/capitalone/,https://twitter.com/capitalone,https://www.instagram.com/capitalone/,https://www.pinterest.com/capitalone/
114,Bristol Myers Squibb,https://it-it.facebook.com/BristolMyersSquibb/,https://twitter.com/bmsnews,https://www.instagram.com/bristolmyerssquibb/,https://www.pinterest.com/chotwoos/bristol-myers-squibb/
115,Coca-Cola,https://it-it.facebook.com/cocacolait/,https://twitter.com/cocacola?lang=it,https://www.instagram.com/cocacola/,https://www.pinterest.it/robiborruso/coca-cola/
116,Oracle,https://it-it.facebook.com/oracle,https://twitter.com/oracle,https://www.instagram.com/oracle/,https://www.pinterest.com/oracle/
117,Sberbank,https://www.facebook.com/sberbank/,https://twitter.com/search?q=%23sberbank,https://www.instagram.com/sberbank/,https://www.pinterest.it/pin/597712181809697973/
118,Bank of Montreal,https://www.facebook.com/BMOcommunity/,https://twitter.com/bmo,https://www.instagram.com/bmocanada/?hl=it,https://www.pinterest.com/pin/199213983486933648
119,Vale,https://it-it.facebook.com/public/Vale-Vale,https://twitter.com/agramoflove?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/wallivale/,https://www.pinterest.it/valesutela/
120,EDF,https://www.facebook.com/edfenergy/,https://twitter.com/edfofficiel,https://www.instagram.com/edfofficiel/,https://www.pinterest.it/edfeurope/
121,Thermo Fisher Scientific,https://www.facebook.com/thermofisher/,https://twitter.com/thermofisher,https://www.instagram.com/thermofisherscientific/?hl=it,https://www.pinterest.com/pin/122512052348058200/
122,Credit Agricole,https://it-it.facebook.com/CreditAgricoleItalia/,https://twitter.com/CA_Ita?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/creditagricoleitalia/,https://www.pinterest.it/1creditagricole/
123,AIRBUS,https://it-it.facebook.com/airbus/,https://twitter.com/airbus,https://www.instagram.com/airbus/,https://www.pinterest.com/airlinerpassion/airbus/
124,Costco Wholesale,https://www.facebook.com/CostcoCanada/,https://twitter.com/costco,https://www.instagram.com/explore/locations/363551/costco-wholesale/,https://www.pinterest.com/costco/
125,Hon Hai Precision,https://www.facebook.com/HonHaiPrecisionIndustryCo/,https://twitter.com/honhai_foxconn,https://www.instagram.com/explore/locations/2278820549012528/selena-gomez-fans,
126,Unilever,https://www.facebook.com/unilever/,https://twitter.com/unilever,https://www.instagram.com/unilever/,https://www.pinterest.com/UnileverUSA/
127,Charter Communications,https://m.facebook.com/profile.php?id=353681338042102,https://twitter.com/charternewsroom,https://www.instagram.com/explore/locations/314417/charter-communications,https://www.pinterest.com/pin/416653403016859301/
128,Sumitomo Mitsui Financial,https://m.facebook.com/profile.php?id=108174735877540,https://twitter.com/mitsui_sumitomo,https://www.instagram.com/explore/locations/6174921/sumitomo-mitsui-banking-corp?hl=it,https://www.pinterest.com/pin/sumitomo-mitsui-financial-group-the-stock-is-a-buy-at-present-nysesmfg--1126040713052987387/
129,ConocoPhillips,https://it-it.facebook.com/conocophillips/,https://twitter.com/conocophillips,https://www.instagram.com/conocophillips/,https://www.pinterest.it/pin/443112050814208397/?amp_client_id=CLIENT_ID(_)&mweb_unauth_id=&simplified=true
130,GlaxoSmithKline,https://www.facebook.com/GSK/,https://twitter.com/gsk,https://www.instagram.com/gsk/,https://www.pinterest.com/grant1925/gsk/
131,Intesa Sanpaolo,https://it-it.facebook.com/intesasanpaolo/,https://twitter.com/intesasanpaolo?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/intesasanpaolo/,https://www.pinterest.it/ofosservatoriof/filiale-intesa-sanpaolo-milano/
132,Manulife,https://it-it.facebook.com/Manulife/,https://twitter.com/manulife,https://www.instagram.com/manulife/,https://www.pinterest.com/lethao315/manulife/
133,US Bancorp,https://www.facebook.com/usbank/,https://twitter.com/usbank,https://www.instagram.com/usbank/,https://www.pinterest.com/usbank/
134,BASF,https://it-it.facebook.com/BASF.Italia/,https://twitter.com/basf_it,https://www.instagram.com/basf_it/?hl=it,https://www.pinterest.it/paolemma/basf/
135,CNOOC,https://m.facebook.com/profile.php?id=112112165473161,https://twitter.com/hashtag/cnooc,https://www.instagram.com/cnoocintlcampus/,https://www.pinterest.it/pin/475903885621885277/?amp_client_id=CLIENT_ID(_)&mweb_unauth_id=&simplified=true
136,Abbott Laboratories,https://it-it.facebook.com/Abbott/,https://twitter.com/abbottglobal,https://www.instagram.com/abbottglobal/,https://www.pinterest.com/pin/409686897331953592/
137,Iberdrola,https://it-it.facebook.com/Iberdrola/,https://twitter.com/iberdrola,https://www.instagram.com/iberdrola/,https://www.pinterest.com/iberdrola/
138,China Shenhua Energy,https://m.facebook.com/profile.php?id=105743456126774,https://twitter.com/sxcoal/status/1593142100324888576,https://www.instagram.com/shanghaishenhua/?hl=it,https://www.facebook.com/PeoplesDaily/posts/china-shenhua-energy-co-ltd-and-china-coal-energy-co-ltd-the-nations-leading-coa/950973284954489/
139,Itaú Unibanco Holding,https://m.facebook.com/profile.php?id=209158769212254,https://twitter.com/ResearchPool/status/1147312231756886016,https://www.instagram.com/itau/,
140,Caterpillar,https://it-it.facebook.com/caterpillar.radio2/,https://twitter.com/caterpillarinc,https://www.instagram.com/caterpillarinc/,
141,Mitsui,https://www.facebook.com/MOPKLIA/,https://twitter.com/citra_citrasa,https://www.instagram.com/explore/locations/288690289/mitsui-co-ltd,https://www.pinterest.it/saralobina/mitsui/
142,Itochu,https://www.facebook.com/itochuinternational/,https://mobile.twitter.com/itochuintl,https://www.instagram.com/itochuintl/?hl=it,
143,Charles Schwab,https://www.facebook.com/CharlesSchwab/,https://twitter.com/charlesschwab,https://www.instagram.com/charlesschwab/,https://www.pinterest.com/charlesschwab/
144,Truist Financial,https://it-it.facebook.com/truist/,https://twitter.com/truistnews,https://www.instagram.com/truist/?hl=it,https://www.pinterest.com/pin/truist-cares-about-your-financial-privacy-and-protection-which-is-shown-in-how-we-collect-use-and-secure-your-person-in-2021--656751558170776266/
145,Enbridge,https://it-it.facebook.com/enbridge/,https://twitter.com/enbridge/,https://www.instagram.com/enbridge/?hl=it,https://www.pinterest.com/pin/389983648968676312/
146,Hitachi,https://www.facebook.com/hitachi.global/,https://twitter.com/hitachiglobal,https://www.instagram.com/hitachi/?hl=it,https://www.pinterest.it/juniorpronesti/hitachi/
147,KDDI,https://it-it.facebook.com/kddi.for.global.business/,https://twitter.com/search?q=%23kddi,https://www.instagram.com/kddi/,https://www.pinterest.it/pin/187180928236411486/
148,Hyundai Motor,https://it-it.facebook.com/Hyundai.Italia/,https://twitter.com/hyundai_global,https://www.instagram.com/hyundai/,
149,China Citic Bank,https://www.facebook.com/CNCBI/,https://twitter.com/citictelecomcpc,https://www.instagram.com/p/BibNYKdF5c3/?taken-by=coeymakeup,https://www.pinterest.com/pin/china-citic-bank-hong-kong--828451293949707589/
150,Visa,https://www.facebook.com/Visa/,https://twitter.com/Visa_IT?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/visa_us/,https://www.pinterest.com/Visa/
151,Target,,https://twitter.com/target,https://www.instagram.com/target/,https://www.pinterest.com/target/
152,BBVA-Banco Bilbao Vizcaya,https://www.facebook.com/BBVAGroup/,https://twitter.com/bbva,https://www.instagram.com/bbva/,https://www.pinterest.com/pin/498421883759894799/?amp_client_id=CLIENT_ID(_)&mweb_unauth_id=%7B%7Bdefault.session%7D%7D&amp_url=https%3A%2F%2Fwww.pinterest.com%2Famp%2Fpin%2F498421883759894799%2F&open_share=t
153,tesla,https://www.facebook.com/TeslaMotorsCorp/,https://twitter.com/Tesla?,https://www.instagram.com/teslamotors/,https://www.pinterest.it/daniele_ddb/tesla-models/
154,Deere & Company,https://www.deere.it/it/index.html,https://www.deere.it/it/index.html,https://www.deere.it/it/index.html,https://www.deere.it/it/index.html
